n_groups,rain,ln_eggs
3,10.12,1.352
1,10.12,1.332
3,10.12,-0.301
3,10.12,0.929
1,10.12,0.176
1,10.08,2.85
3,10.08,0.398
1,10.08,1.423
1,10.08,2.081
4,10.08,1.585
1,10.08,2.446
3,9.89,-0.301
1,9.89,0.653
2,9.89,-0.301
1,9.89,1.352
3,9.89,1.47
1,9.89,2.376
1,9.89,-0.301
1,9.89,1.971
3,9.89,-0.301
1,9.89,2.109
1,9.89,1.957
1,9.89,2.365
1,9.89,1.98
3,9.89,2.491
2,9.63,2.588
1,9.63,2.435
1,9.63,2.229
3,9.34,2.229
1,10.88,2.125
1,10.88,2.897
2,12.14,-0.301
2,12.14,-0.301
1,12.12,1.854
1,12.12,1.455
1,12.12,0.74
3,12.12,1.789
2,12.12,0.653
1,12.12,1.512
3,12.12,1.81
1,4.28,1.484
3,3.48,2.256
1,3.22,2.357
3,3.22,1.55
2,3.54,1.525
1,3.42,2.705
1,3.42,1.989
3,3.34,1.884
2,4.48,2.856
1,4.5,0.813
1,4.5,0.398
1,7.42,1.796
1,7.88,2.304
1,8.9,1.574
1,6.58,2.331
1,6.58,2.145
1,6.58,1.767
2,6.58,1.19
1,7.26,2.232
1,7.26,0.875
1,7.26,1.407
1,7.26,2.372
1,7.26,2.333
2,6.8,1.638
1,6.8,2.492
1,6.8,1.72
1,6.8,2.638
2,6.78,0.978
2,6.6,2.533
1,6.6,2.594
1,6.6,3.134
1,5.64,2.293
1,5.64,2.602
2,5.64,1.097
1,5.64,1.76
1,5.64,2.978
1,5.64,1.947
1,5.64,1.927
1,2.78,2.414
1,1.66,1.695
1,1.66,2.383
1,1.24,2.484
1,0.72,3.199
1,0.72,2.095
1,0.68,2.479
2,0.68,2.491
1,0.68,-0.301
2,0,2.874
3,0,1.889
2,0,3.166
1,0,2.665
